number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
28,0.606766677982745,2026-04-23 23:24:48.363995,2026-04-23 23:24:50.348555,0 days 00:00:01.984560,0.6049337245952285,0.4136963700562736,13,9,1702,0.7461072145031996,COMPLETE
29,0.6145854505334274,2026-04-23 23:24:50.351610,2026-04-23 23:24:52.561781,0 days 00:00:02.210171,0.4915005951505139,0.4575697304276773,12,2,1951,0.6331046339105109,COMPLETE
30,0.6133930847321144,2026-04-23 23:24:52.561781,2026-04-23 23:24:54.745874,0 days 00:00:02.184093,0.7092295989293893,0.378277475351599,10,8,1757,0.9126572130148057,COMPLETE
31,0.6232861414343611,2026-04-23 23:24:54.745874,2026-04-23 23:24:57.195245,0 days 00:00:02.449371,0.8892027701290592,0.4739131305946326,9,7,1824,0.956478020904971,COMPLETE
32,0.6217145726192886,2026-04-23 23:24:57.197253,2026-04-23 23:24:59.775289,0 days 00:00:02.578036,0.8873379914840224,0.46749524813937504,9,6,1823,0.9629666819560081,COMPLETE
33,0.6093073800273422,2026-04-23 23:24:59.778419,2026-04-23 23:25:02.230342,0 days 00:00:02.451923,0.8908318533854294,0.46213483659172244,9,6,1854,0.9577292097794569,COMPLETE
34,0.6204784694267383,2026-04-23 23:25:02.231869,2026-04-23 23:25:04.915049,0 days 00:00:02.683180,0.9417031961692601,0.44018851335772613,8,4,1927,0.9918124740853307,COMPLETE
35,0.613340950431202,2026-04-23 23:25:04.916057,2026-04-23 23:25:07.205885,0 days 00:00:02.289828,0.797745202690933,0.34765171704690195,9,7,1663,0.9143975480943856,COMPLETE
36,0.6149623281100802,2026-04-23 23:25:07.209113,2026-04-23 23:25:09.524246,0 days 00:00:02.315133,0.8749162531571925,0.4732953174982378,8,4,1833,0.9540940238047795,COMPLETE
37,0.5890650908175963,2026-04-23 23:25:09.524246,2026-04-23 23:25:11.704586,0 days 00:00:02.180340,0.4242598507305734,0.49907204972278546,9,6,1986,0.8916670470921229,COMPLETE
38,0.60718589754968,2026-04-23 23:25:11.706909,2026-04-23 23:25:14.179846,0 days 00:00:02.472937,0.9704050892168479,0.37695634851145343,7,7,1824,0.6968228651355977,COMPLETE
39,0.5915975998145088,2026-04-23 23:25:14.181867,2026-04-23 23:25:16.514991,0 days 00:00:02.333124,0.998492067012439,0.4730010209545935,10,4,1878,0.5780954654919745,COMPLETE
40,0.6277585868096506,2026-04-23 23:25:16.514991,2026-04-23 23:25:18.605602,0 days 00:00:02.090611,0.8741849020323901,0.4218195658795437,10,6,1421,0.9644950248892795,COMPLETE
41,0.6225921633525913,2026-04-23 23:25:18.605602,2026-04-23 23:25:20.878610,0 days 00:00:02.273008,0.8797741891327586,0.44453046881557384,10,6,1441,0.9599968270602528,COMPLETE
42,0.6113992093634757,2026-04-23 23:25:20.878610,2026-04-23 23:25:23.077583,0 days 00:00:02.198973,0.8847551485679676,0.44850860872642506,9,5,1403,0.9538672131239017,COMPLETE
43,0.6142717877577313,2026-04-23 23:25:23.079591,2026-04-23 23:25:25.237520,0 days 00:00:02.157929,0.9260455014772739,0.41805100808087603,11,6,1469,0.9084249872002808,COMPLETE
44,0.5930285734627014,2026-04-23 23:25:25.239973,2026-04-23 23:25:27.251110,0 days 00:00:02.011137,0.8044667856357913,0.33060630213304965,8,5,1343,0.4294096506988625,COMPLETE
45,0.6192078745732882,2026-04-23 23:25:27.251639,2026-04-23 23:25:29.252152,0 days 00:00:02.000513,0.73965167496505,0.4767054755098645,10,7,1284,0.9695028797201428,COMPLETE
46,0.6138075429150815,2026-04-23 23:25:29.252152,2026-04-23 23:25:31.426473,0 days 00:00:02.174321,0.8662359696639265,0.36209388193924286,10,7,1503,0.8578282881384306,COMPLETE
47,0.5906257587598913,2026-04-23 23:25:31.428485,2026-04-23 23:25:33.046920,0 days 00:00:01.618435,0.31951438720323755,0.4275804218838384,6,6,1394,0.9348291889925643,COMPLETE
48,0.619118228597453,2026-04-23 23:25:33.046920,2026-04-23 23:25:35.244227,0 days 00:00:02.197307,0.9126827884028664,0.4020140978839788,8,6,1567,0.7828089084687504,COMPLETE
49,0.6211097108497997,2026-04-23 23:25:35.245934,2026-04-23 23:25:37.038918,0 days 00:00:01.792984,0.949388539250205,0.4817363321092247,9,5,1120,0.8829352304711346,COMPLETE
