DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
275,2022,OZK,Bank OZK,27656.568,226.373,4690.938,21500.143,1131.672,51.339,20778.791,3534.019,564.141,1142.242,114.503,49.555,2022,Optimal,0.12674286,0.0,0.06337143,0.87325714,1.0,0.93662857,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
276,2022,PB,Prosperity Bancshares Inc,37689.829,314.713,6699.374,28533.531,2326.689,28.088,18839.273,14566.03,524.516,1005.231,145.128,27.494,2022,Optimal,0.1491453,0.0,0.07457265,0.8508547,1.0,0.92542735,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
281,2022,PDLB,Ponce Financial Group Inc,2311.989,27.914,492.7,1252.412,551.907,11.443,1527.719,664.986,-30.001,66.603,6.419,13.709,2022,Optimal,0.41741929,0.0,0.208709645,0.58258071,1.0,0.791290355,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
283,2022,PEBO,Peoples Bancorp Inc,7207.304,112.69,785.328,5716.941,608.782,47.984,4707.15,1743.22,101.292,253.442,78.836,45.21,2022,Optimal,0.13074262,0.033245063,0.0819938415,0.86925738,0.9356492197437192,0.9180061585,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
287,2022,PFS,Provident Financial Services Inc,13783.436,147.203,1597.703,10598.729,1411.235,56.758,10248.883,2261.172,175.648,417.552,87.789,60.633,2022,Optimal,0.15345714,0.021377959,0.0874175495,0.84654286,0.958138985061063,0.9125824505,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
288,2022,PGC,Peapack-Gladstone Financial Corp,6353.593,89.476,532.98,5205.164,530.917,15.573,5285.246,700.596,74.246,176.08,66.417,19.09,2022,Optimal,0.10299973,0.023452072,0.063225901,0.89700027,0.9541706492338804,0.936774099,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
291,2022,PNBK,Patriot National Bancorp Inc,1043.359,15.506,59.583,860.446,117.553,23.097,848.316,95.471,6.161,33.259,3.605,19.748,2022,Optimal,0.11731698,0.0,0.05865849,0.88268302,1.0,0.94134151,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
296,2022,PROV,Provident Financial Holdings Inc,1187.038,15.833,128.65,955.504,86.998,8.646,945.556,196.66,9.093,31.595,4.716,1.423,2022,Optimal,0.13697689,0.0,0.068488445,0.86302311,1.0,0.931511555,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
298,2022,PVBC,Provident Bancorp Inc,1636.381,31.737,207.542,1279.582,131.111,2.892,1444.116,32.866,-21.468,75.03,6.149,33.434,2022,Optimal,0.15958642,0.0,0.07979321,0.84041358,1.0,0.92020679,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
300,2022,QCRH,QCR Holdings Inc,7948.837,115.368,772.724,5984.217,828.894,2.76,6137.391,970.603,99.066,231.12,80.729,8.903,2022,Optimal,0.17465837,0.0,0.087329185,0.82534163,1.0,0.912670815,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
302,2022,QNTO,Quaint Oak Bancorp Inc,792.35,20.137,49.082,549.248,179.677,0.009,629.542,9.571,7.863,23.689,19.411,2.0,2022,Optimal,0.26368332,0.0,0.13184166,0.7363166800000001,1.0,0.86815834,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
303,2022,RBB,RBB Bancorp,3919.058,35.488,484.563,2977.683,434.828,21.018,3336.449,277.559,64.327,149.554,11.252,24.1,2022,Optimal,0.16923123,0.0014258124,0.0853285212,0.8307687699999999,0.9971524352930692,0.9146714788,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
304,2022,RBCAA,Republic Bancorp Inc,5835.543,111.24,856.613,4537.845,349.765,22.344,4515.802,717.008,91.106,236.691,89.81,17.899,2022,Optimal,0.14980014,0.0,0.07490007,0.85019986,1.0,0.92509993,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
307,2022,RMBI,Richmond Mutual Bancorporation Inc,1328.62,18.478,132.978,1005.261,180.507,8.058,974.104,301.519,12.965,41.639,4.867,9.233,2022,Optimal,0.18845826,0.018605021,0.1035316405,0.81154174,0.963469606733855,0.8964683595,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
310,2022,RVSB,Riverview Bancorp Inc,1589.712,23.982,155.239,1265.217,159.965,22.099,1008.856,462.209,18.069,51.606,12.194,1.852,2022,Optimal,0.14471143,0.0,0.072355715,0.85528857,1.0,0.927644285,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
316,2022,SFBC,Sound Financial Bancorp Inc,976.351,16.415,97.705,808.763,60.124,6.211,865.981,15.238,8.804,35.295,4.582,3.618,2022,Optimal,0.11427091,0.033360096,0.073815503,0.88572909,0.9354337444824268,0.926184497,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
318,2022,SFDL,Security Federal Corp,1381.366,20.05,160.233,1110.085,105.227,2.813,560.182,718.237,10.228,37.55,9.612,6.421,2022,Optimal,0.13730917,0.0,0.068654585,0.86269083,1.0,0.931345415,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
333,2022,STBA,S&T Bancorp Inc,9110.567,103.221,1184.659,7219.97,488.891,79.604,7183.969,1025.813,135.52,315.783,58.259,22.117,2022,Optimal,0.12993657,0.0,0.064968285,0.87006343,1.0,0.935031715,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
334,2022,STD2,Santander Holdings USA Inc,168194.32,2001.243,17929.722,79128.541,59578.524,2149.341,97338.329,17591.437,1405.007,6174.463,3729.263,2575.951,2022,Optimal,0.46247282,0.0,0.23123641,0.53752718,1.0,0.76876359,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
