DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
248,2024,NBHC,National Bank Holdings Corp,9807.693,146.243,1305.075,8237.893,152.344,32.316,7751.143,1137.117,118.815,345.388,61.231,36.656,2024,Optimal,0.077290105,0.0,0.0386450525,0.922709895,1.0,0.9613549475,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
250,2024,NBTB,NBT Bancorp Inc,13786.666,232.487,1526.141,11546.761,445.326,37.874,9969.91,2493.914,140.641,400.122,176.824,51.799,2024,Optimal,0.078302966,0.010862341,0.0445826535,0.921697034,0.9785087631432496,0.9554173465,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
252,2024,NEFB,Neffs Bancorp Inc,457.47,4.574,67.272,368.521,18.4,0.161,238.636,208.169,2.243,9.816,0.334,0.116,2024,Optimal,0.082086202,0.0,0.041043101,0.917913798,1.0,0.958956899,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
256,2024,NKSH,National Bankshares Inc,1811.636,19.214,156.409,1644.752,1.523,2.629,987.95,603.746,7.623,36.397,8.96,2.222,2024,Optimal,0.0096637515,0.0,0.00483187575,0.9903362485,1.0,0.99516812425,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
258,2024,NTRS,Northern Trust Corp,155508.4,2888.9,12788.4,122482.7,16642.3,65.1,43390.6,51291.7,2031.1,2177.1,6113.3,56.0,2024,Optimal,0.036826622,0.0,0.018413311,0.963173378,1.0,0.981586689,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
259,2024,NWBI,Northwest Bancshares Inc,14408.224,214.455,1596.856,12144.554,494.676,97.186,11180.014,1880.536,100.278,435.578,87.01,78.194,2024,Optimal,0.071510222,0.016259082,0.0438846519999999,0.928489778,0.9680020926002412,0.956115348,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
262,2024,OBK,Origin Bancorp Inc,9678.702,148.823,1145.245,8223.12,230.334,34.044,7573.713,1191.778,76.492,300.366,55.379,78.637,2024,Optimal,0.066680019,0.029491,0.0480855095,0.933319981,0.942707609877114,0.9519144905,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
266,2024,OFG,OFG Bancorp,11500.734,159.71,1254.371,9604.786,422.562,100.021,7791.962,2720.259,198.17,588.44,123.249,93.58,2024,Optimal,0.080523956,0.0,0.040261978,0.919476044,1.0,0.959738022,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
270,2024,ORPB,Oregon Pacific Bancorp,776.449,14.337,65.291,676.618,28.312,0.443,571.565,157.192,7.521,26.936,7.94,0.798,2024,Optimal,0.077364639,0.0,0.0386823195,0.922635361,1.0,0.9613176805,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
272,2024,OSBC,Old Second Bancorp Inc,5649.377,98.025,671.034,4768.731,141.897,73.902,3981.336,1181.142,85.264,241.635,43.819,51.904,2024,Optimal,0.076889395,0.0,0.0384446975,0.923110605,1.0,0.9615553025,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
275,2024,OZK,Bank OZK,38258.852,296.016,5706.194,31043.072,947.025,128.397,29968.867,2876.08,716.456,1533.724,124.413,200.875,2024,Optimal,0.044127635,0.0,0.0220638175,0.955872365,1.0,0.9779361825,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
280,2024,PCB,PCB Bancorp,3063.971,35.661,363.814,2615.791,33.671,6.474,2629.387,160.391,25.81,88.617,11.093,4.693,2024,Optimal,0.063551761,0.0,0.0317758805,0.936448239,1.0,0.9682241195,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
285,2024,PFIS,Peoples Financial Services Corp,5091.657,45.746,468.95,4407.552,168.292,4.948,3993.505,617.163,8.498,115.989,18.336,23.722,2024,Optimal,0.02095894,0.018378365,0.0196686525,0.97904106,0.9639066075407052,0.9803313475,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
286,2024,PFLC,Pacific Financial Corp,1153.563,24.944,113.856,1014.731,17.443,0.664,704.248,306.191,9.532,44.223,6.869,1.094,2024,Optimal,0.076342465,0.021193085,0.048767775,0.923657535,0.9584934811813772,0.951232225,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
