DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
118,2021,EXSR,Exchange Bank of Santa Rosa California,3536.751,35.622,319.202,3179.118,7.941,4.282,1510.107,1421.712,36.41,93.549,23.645,5.899,2021,Optimal,0.011470165,0.0,0.0057350825,0.988529835,1.0,0.9942649175,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
121,2021,FBK,FB Financial Corp,12597.686,248.318,1432.695,10836.897,218.145,84.226,7604.662,1714.109,190.285,347.37,228.255,62.983,2021,Optimal,0.042976398,0.031289958,0.037133178,0.957023602,0.9393187963147024,0.962866822,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
122,2021,FBNC,First Bancorp/NC,10508.901,103.249,1230.575,9124.629,88.578,46.997,6081.715,3166.539,95.644,246.395,73.611,52.637,2021,Optimal,0.035628861,0.0,0.0178144305,0.964371139,1.0,0.9821855695,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
123,2021,FBP,First BanCorp (Puerto Rico),20785.275,200.457,2101.767,17784.894,777.534,293.506,11060.658,6655.492,281.025,729.929,121.164,158.102,2021,Optimal,0.044779465,0.0,0.0223897325,0.955220535,1.0,0.9776102675,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
125,2021,FBSI,First Bancshares Inc,445.034,5.814,44.161,396.137,3.764,0.433,346.259,14.714,5.093,16.43,1.725,0.618,2021,Optimal,0.015083412,0.0,0.007541706,0.984916588,1.0,0.992458294,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
127,2021,FCBC,First Community Bancshares Inc,3194.519,44.239,427.775,2729.391,2.306,24.568,2165.569,76.292,51.168,102.474,34.301,23.237,2021,Optimal,0.062072901,0.0,0.0310364505,0.937927099,1.0,0.9689635495,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
128,2021,FCCO,First Community Corp,1584.508,24.494,140.998,1361.291,72.13,7.022,863.702,566.624,15.465,45.279,13.904,1.415,2021,Optimal,0.064793261,0.031130998,0.0479621295,0.935206739,0.9396177632902468,0.9520378705,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
131,2021,FDBC,Fidelity D & D Bancorp Inc,2419.104,25.249,211.729,2169.865,21.567,6.657,1433.128,742.186,24.008,61.829,18.287,6.434,2021,Optimal,0.017756587,0.051947883,0.034852235,0.982243413,0.901234873248944,0.965147765,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
133,2021,FFBB,FFB Bancorp,1080.103,11.516,89.292,936.548,40.886,1.689,723.272,296.101,20.527,38.838,9.971,2.93,2021,Optimal,0.049935098,0.015778169,0.0328566334999999,0.950064902,0.9689338292916196,0.9671433665,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
138,2021,FFMH,First Farmers and Merchants Corp,1972.738,26.499,158.631,1791.206,3.866,1.56,886.891,894.596,15.619,45.156,16.783,1.214,2021,Optimal,0.0088703708,0.0,0.0044351854,0.9911296292,1.0,0.9955648146,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
