DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
126,2021,FBTT,First Bankers Trustshares Inc,1226.137,13.947,105.831,978.624,136.583,12.063,478.398,667.157,8.17,24.124,8.329,8.634,2021,Optimal,0.12802283,0.0,0.064011415,0.87197717,1.0,0.935988585,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
129,2021,FCF,First Commonwealth Financial Corp.,9545.093,119.506,1109.372,7982.498,365.385,55.281,6839.23,1595.529,138.257,278.541,106.757,55.822,2021,Optimal,0.072551232,0.041201346,0.056876289,0.927448768,0.9208580623559816,0.943123711,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
132,2021,FDVA,Freedom Financial Holdings Inc,876.673,16.341,84.159,701.693,83.533,3.18,602.369,192.867,10.728,28.516,9.723,8.891,2021,Optimal,0.12981187,0.030955729,0.0803837994999999,0.8701881300000001,0.9399475105880128,0.9196162005,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
134,2021,FFBC,First Financial Bancorp.,16329.141,245.924,2258.942,12871.954,773.587,89.138,9288.299,4409.237,205.16,452.118,171.506,60.106,2021,Optimal,0.12179249,0.033760998,0.077776744,0.87820751,0.9346831655183028,0.922223256,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
136,2021,FFIC,Flushing Financial Corp,8045.911,88.31,679.628,6385.445,869.699,21.108,6638.105,871.041,81.793,247.969,3.687,14.933,2021,Optimal,0.12245708,0.015564739,0.0690109095,0.87754292,0.9693476183205688,0.9309890905,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
137,2021,FFIN,First Financial Bankshares Inc,13102.461,142.042,1759.224,10566.488,671.152,42.898,5388.972,6573.179,227.562,370.363,142.176,34.158,2021,Optimal,0.10300948,0.0,0.05150474,0.89699052,1.0,0.94849526,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
145,2021,FINW,Finwise Bancorp,380.214,22.365,115.442,251.892,1.05,0.831,207.957,11.801,31.583,47.978,31.844,0.763,2021,Optimal,0.25970622,0.0,0.12985311,0.74029378,1.0,0.87014689,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
150,2021,FLG,Flagstar Financial Inc,59527.0,303.0,7044.0,35059.0,16811.0,46.103,45738.0,6530.0,596.0,1289.0,61.0,41.0,2021,Optimal,0.28163339,0.0,0.140816695,0.71836661,1.0,0.859183305,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
152,2021,FMBH,First Mid Bancshares Inc,5986.582,89.66,633.894,4956.486,361.631,30.616,3992.775,1428.849,51.49,167.751,69.767,27.055,2021,Optimal,0.085944232,0.049866054,0.067905143,0.914055768,0.9050049217040406,0.932094857,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
156,2021,FNB,F.N.B. Corp,39513.0,418.328,5150.0,31726.0,2378.6,180.0,24968.0,7134.0,404.602,906.476,330.419,96.0,2021,Optimal,0.10152023,0.040536175,0.0710282025,0.89847977,0.9220859861023092,0.9289717975,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
157,2021,FNFI,First Niles Financial Inc,124.497,3.589,15.305,80.607,27.216,0.441,74.319,12.086,0.586,2.152,3.507,0.418,2021,Optimal,0.19361912,0.0,0.09680956,0.80638088,1.0,0.90319044,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
158,2021,FNLC,First Bancorp Inc/ME (The),2527.099,21.152,245.657,2123.297,137.164,7.674,1647.649,695.971,36.269,66.303,19.383,6.721,2021,Optimal,0.077115272,0.042185041,0.0596501564999999,0.922884728,0.9190450076705716,0.9403498435,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
164,2021,FRBA,First Bank,2510.298,25.404,266.666,2114.602,111.455,10.81,2111.991,148.049,35.429,81.89,7.754,13.773,2021,Optimal,0.077274204,0.02726749,0.0522708469999999,0.922725796,0.9469125806755552,0.947729153,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
166,2021,FRME,First Merchants Corp,15453.149,166.995,1912.571,12732.577,653.869,65.651,9241.861,4553.089,205.531,410.68,109.323,43.949,2021,Optimal,0.082132621,0.026171255,0.054151938,0.917867379,0.9489924223223346,0.945848062,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
169,2021,FSBW,FS Bancorp Inc,2286.391,49.721,247.507,1915.744,96.714,7.851,1754.175,283.637,37.412,86.649,37.513,5.8,2021,Optimal,0.084857825,0.050158584,0.0675082045,0.915142175,0.9044742674788248,0.9324917955,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
170,2021,FSFG,First Savings Financial Group Inc,1720.506,102.951,180.377,1227.58,275.801,16.684,1090.237,227.776,29.567,57.172,120.436,17.215,2021,Optimal,0.22429329,0.017499432,0.120896361,0.77570671,0.9656030628624468,0.879103639,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
177,2021,GBCI,Glacier Bancorp Inc,25940.645,270.644,3177.622,21337.249,1245.409,35.433,13432.031,10380.033,284.757,662.516,144.82,67.691,2021,Optimal,0.080917764,0.0,0.040458882,0.919082236,1.0,0.959541118,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
181,2021,GSBC,Great Southern Bancorp Inc,5449.944,70.29,616.752,4552.101,246.599,3.82,4068.254,507.687,74.627,177.921,38.317,6.011,2021,Optimal,0.078427557,0.0,0.0392137785,0.921572443,1.0,0.9607862215,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
193,2021,HIFS,Hingham Institution for Savings,3431.165,13.988,354.612,2392.865,665.87,8.864,3019.527,121.881,67.458,102.465,15.308,0.427,2021,Optimal,0.10086303,0.0,0.050431515,0.89913697,1.0,0.949568485,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
195,2021,HNVR,Hanover Bancorp Inc,1484.641,15.009,122.529,1164.662,184.155,1.249,1247.125,20.072,10.851,41.708,3.349,1.028,2021,Optimal,0.14104391,0.024805739,0.0829248245,0.85895609,0.951589383126981,0.9170751755,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
197,2021,HONE,HarborOne Bancorp Inc,4553.405,101.924,679.261,3682.649,118.24,34.696,3607.733,399.967,58.517,131.37,100.686,36.186,2021,Optimal,0.10924785,0.0,0.054623925,0.89075215,1.0,0.945376075,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
202,2021,HWBK,Hawthorn Bancshares Inc,1831.55,27.657,148.956,1516.82,152.57,46.867,1302.133,316.278,22.517,58.545,16.531,35.998,2021,Optimal,0.097430191,0.0,0.0487150955,0.902569809,1.0,0.9512849045,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
205,2021,IBOC,International Bancshares Corp,16046.236,123.48,2308.481,12617.877,1010.452,80.309,7209.151,4520.281,253.922,371.272,222.326,37.253,2021,Optimal,0.12408086,0.023494906,0.073787883,0.87591914,0.9540888657827868,0.926212117,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
208,2021,INDB,Independent Bank Corp,20423.405,172.586,3018.449,16917.044,216.282,66.861,13587.286,2672.546,120.992,401.559,105.85,27.82,2021,Optimal,0.075547354,0.0,0.037773677,0.924452646,1.0,0.962226323,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
211,2021,ISTR,Investar Holding Corp,2513.203,35.527,242.598,2120.266,139.156,14.49,1872.012,382.567,8.0,83.814,12.042,32.148,2021,Optimal,0.077246645,0.026047995,0.05164732,0.922753355,0.949226556404898,0.94835268,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
217,2021,KFFB,Kentucky First Federal Bancorp,338.063,5.44,52.296,226.843,56.873,8.035,299.524,6.993,1.82,10.011,0.595,6.737,2021,Optimal,0.24670455,0.0,0.123352275,0.75329545,1.0,0.876647725,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
219,2021,KRNY,Kearny Financial Corp,7283.735,68.8,1042.944,5485.306,703.703,36.874,4851.394,1751.617,63.233,184.509,24.751,79.945,2021,Optimal,0.16801547,0.0,0.084007735,0.8319845299999999,1.0,0.915992265,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
226,2021,LSBK,Lake Shore Bancorp Inc,713.739,8.999,87.976,593.184,22.484,3.161,523.324,90.422,6.187,21.994,3.188,9.8,2021,Optimal,0.088343256,0.0,0.044171628,0.911656744,1.0,0.955828372,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
228,2021,MBIN,Merchants Bancorp,11278.638,85.727,1155.409,8982.613,1033.954,6.321,5782.663,340.217,227.104,277.994,157.333,0.8,2021,Optimal,0.11557707,0.0,0.057788535,0.8844229299999999,1.0,0.942211465,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
232,2021,MCBK,Madison County Financial Inc,532.716,6.757,87.23,413.309,20.7,0.12,374.479,110.496,7.412,15.427,3.425,0.072,2021,Optimal,0.14166777,0.0,0.070833885,0.85833223,1.0,0.929166115,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
