DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
48,2022,BRKL,Brookline Bancorp Inc,9185.836,113.487,992.125,6522.146,1452.136,33.177,7644.388,728.073,109.744,299.771,28.347,15.302,2022,Optimal,0.22105646,0.0,0.11052823,0.77894354,1.0,0.88947177,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
49,2022,BSBK,Bogota Financial Corp,951.099,8.435,139.659,701.411,102.319,0.865,721.604,168.019,6.877,23.078,1.124,0.857,2022,Optimal,0.19269451,0.0,0.096347255,0.80730549,1.0,0.903652745,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
50,2022,BSRR,Sierra Bancorp,3608.59,47.053,303.582,2846.164,420.127,4.615,2052.817,1284.533,33.659,109.615,30.77,19.579,2022,Optimal,0.14326128,0.0,0.07163064,0.8567387200000001,1.0,0.92836936,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
51,2022,BUSE,First Busey Corp,12336.677,159.016,1145.977,10071.28,917.703,21.268,7725.702,3391.24,128.311,323.438,126.803,16.59,2022,Optimal,0.10192853,0.049047547,0.0754880385,0.89807147,0.9064912793700092,0.9245119615,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
52,2022,BWB,Bridgewater Bancshares Inc,4345.662,36.941,394.064,3416.543,479.151,0.722,3560.153,568.219,53.392,129.698,6.332,0.639,2022,Optimal,0.13610285,0.0,0.068051425,0.86389715,1.0,0.931948575,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
53,2022,BWFG,Bankwell Financial Group Inc,3252.449,22.237,238.469,2800.818,158.959,16.587,2668.815,126.85,37.429,94.743,3.04,16.441,2022,Optimal,0.042655937,0.10282093,0.0727384335,0.957344063,0.8135310507753964,0.9272615665,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
54,2022,BY,Byline Bancorp Inc,7362.941,118.051,765.816,5695.121,765.819,25.242,5421.258,1213.327,87.954,265.33,57.314,40.744,2022,Optimal,0.15239336,0.020074657,0.0862340085,0.84760664,0.9606408082737026,0.9137659915,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
55,2022,CAC,Camden National Corp,5671.85,62.019,451.278,4826.929,324.841,6.884,4010.353,1255.171,61.439,147.694,40.702,5.105,2022,Optimal,0.068046795,0.032650593,0.050348694,0.931953205,0.9367635224899348,0.949651306,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
56,2022,CADE,Cadence Bank,48653.414,745.023,4311.374,38956.614,4694.592,186.812,30349.277,12096.554,463.237,1351.303,493.032,116.136,2022,Optimal,0.11588467,0.016108189,0.0659964295,0.88411533,0.968294342719838,0.9340035705,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
57,2022,CARE,Carter Bankshares Inc,4204.519,52.399,328.627,3630.333,205.02,18.313,3148.913,846.013,50.118,139.928,21.718,15.038,2022,Optimal,0.058627054,0.057630206,0.05812863,0.941372946,0.8910201208833477,0.94187137,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
58,2022,CARV,Carver Bancorp Inc,723.224,13.186,45.224,600.429,64.263,11.541,597.896,58.427,-4.401,22.789,3.595,12.321,2022,Optimal,0.11658057,0.056349238,0.086464904,0.88341943,0.8933132415437025,0.913535096,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
59,2022,CASH,Pathward Financial Inc,6747.41,171.126,645.14,5866.037,68.083,61.833,3536.305,1956.237,156.386,307.324,293.807,30.92,2022,Optimal,0.047064772,0.0,0.023532386,0.952935228,1.0,0.976467614,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
60,2022,CATY,Cathay General Bancorp,21947.976,142.546,2474.04,18505.279,659.254,71.653,18247.383,1512.756,360.642,733.697,56.814,84.501,2022,Optimal,0.039448872,0.0,0.019724436,0.960551128,1.0,0.980275564,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
61,2022,CBAN,Colony Bankcorp Inc,2936.57,52.809,230.268,2490.997,205.247,5.779,1737.106,912.204,19.542,80.625,35.072,6.357,2022,Optimal,0.080598433,0.097353126,0.0889757794999999,0.919401567,0.8225673692572139,0.9110242205,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
62,2022,CBCY,Central Bancompany Inc,19445.397,254.401,2387.592,15561.196,1350.582,28.746,11223.613,6529.44,258.22,555.775,231.249,25.982,2022,Optimal,0.1180976,0.0,0.0590488,0.8819024,1.0,0.9409512,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
63,2022,CBFV,CB Financial Services Inc,1408.938,18.469,110.155,1268.503,24.786,7.302,1049.873,190.058,11.247,42.935,9.82,5.799,2022,Optimal,0.031909007,0.11934432,0.0756266635,0.968090993,0.7867603062478578,0.9243733365,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
64,2022,CBKM,Consumers Bancorp Inc,977.313,13.26,53.97,886.562,30.728,1.771,611.843,307.146,11.192,32.746,4.735,0.44,2022,Optimal,0.028344474,0.068549015,0.0484467445,0.971655526,0.871697013356004,0.9515532555,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
65,2022,CBNK,Capital Bancorp Inc,2123.655,42.898,224.015,1758.072,121.421,11.512,1730.755,259.843,41.804,140.607,29.372,9.756,2022,Optimal,0.10813766,0.0,0.05406883,0.89186234,1.0,0.94593117,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
66,2022,CBSH,Commerce Bancshares Inc,31875.931,554.047,2481.577,26187.44,2876.637,9.272,16303.131,12475.654,488.399,942.185,567.041,8.402,2022,Optimal,0.093439507,0.0,0.0467197535,0.906560493,1.0,0.9532802465,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
67,2022,CBU,Community Financial System Inc,15835.651,257.339,1551.705,13012.308,1168.866,46.191,8809.394,5314.888,188.081,420.63,258.725,33.867,2022,Optimal,0.095025679,0.027325476,0.0611755775,0.904974321,0.9468026898225194,0.9388244225,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
68,2022,CCB,Coastal Financial Corp,3144.467,52.228,243.494,2817.521,52.821,1.727,2627.256,108.908,40.625,171.775,124.684,33.175,2022,Optimal,0.02685353,0.0,0.013426765,0.97314647,1.0,0.986573235,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
69,2022,CCBG,Capital City Bank Group,4519.223,91.519,387.281,3939.317,132.859,4.339,2547.685,1074.048,33.412,125.022,75.181,2.728,2022,Optimal,0.048589264,0.10209806,0.075343662,0.951410736,0.814720552180266,0.924656338,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
70,2022,CCFN,Muncy Columbia Financial Corp,944.014,10.406,85.942,682.325,172.063,2.87,527.729,345.351,9.514,22.327,6.071,2.654,2022,Optimal,0.22568673,0.020918581,0.1233026555,0.7743132699999999,0.9590200797804852,0.8766973445,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
71,2022,CCNE,CNB Financial Corp/PA,5475.179,71.46,530.762,4622.437,271.089,20.295,4275.178,816.504,63.188,189.659,34.766,23.546,2022,Optimal,0.076760067,0.040125524,0.0584427955,0.923239933,0.922844843099918,0.9415572045,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
72,2022,CEFC,Commercial National Financial Corp,613.754,7.917,39.313,538.732,32.403,4.416,411.294,101.705,8.081,20.417,2.208,0.688,2022,Optimal,0.066171934,0.15907006,0.112620997,0.933828066,0.7255212338070401,0.8873790029999999,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
